,0
0,"미국로켓이 떨어졌으면
좀 조용했을텐데"
1,"남한에 떨어질 확률 5000분의 1을  호들갑떨며 불안 야기한 이데일리, 조선일보는 정말 쓰레기신문!"
2,이럴줄알았지~~ㅋㅋㅋ.단한번도.예상은.틀린적이없어.~~~시민들불안하게.만들더니.....ㅉ
3,"우리 천문연구원 관계자들 교수들 인터뷰도 봤지만 중국이 유도통제기능도 안넣어서. 이난리들 난거고
중국이 잔해 추락관련 정보를 각국에 알려야하는데 그것조차 없었지

앞으로도 날릴로켓들이 많아서 비슷한일이 더 생길거라는게 짱난다"
4,베이징에 떨어지길 바란다
5,다행이에여....
6,백신 맞기 겁나는데..ㅠ
7,우리가 힘을 키웁시다
8,그말은 니들은 믿고있냐?
9,그물마셔보아라
10,ㅋㅋㅋㅋㅋ 왜 로켓도 자연분해된다고 하지?  어휴 저것들!!
11,"중국이 친환경이란다

그냥 방사능이 몸에 좋다고 해라
그게 더 믿음이 간다"
12,전 우주적 민폐국  습근평 ㄱㄱㄲ
13,불신
14,ㅋㅋㅋㅋ
15,웃기고 자빠졌네! ㅎㅎ 암튼 세상에 존재하면 안되
16,"ㅋㅋㅋ
중국이 친환경 연료?
크게 한번 웃었다

-지나 가던 소-"
17,응 중국 안믿어
18,코로나  바이러스도  친환경  유기농  이라고   우기지?  국짐이   국민 파는  겉과   똑같네.
19,"로켓 날리는 연료인데.. 친환경 연료는 대체 뭘까?
전세계 사람들이 모두 바보라고 착각하는 걸까? 아님 우기면 다 되는거라 착각하는걸까?"
20,일본이 방사능 오염수 괜찮다고 하는 거랑 뭐가 달라ㅡㅡ.. 어휴 일본이나 중국이나 아주 사회악임
21,우리나라는요
22,다좋은데다른나라에피해좀주지말라고
23,하지마
24,쳐맹그는건 좋은데 좀 떨구지나 말자 짜장아
25,욕심이 끝이없으니 후손이 화를 어찌 감당하리
26,"이제 위성은 그만 쫌 쏴라~~~
으이구~~~"
27,도움이 안되는 중공공산당
28,"포천시 중국 자본 800억원으로 조성하는공자마을과 차이나타운 건설을 반대합니다. ⟩ 대한민국 청와대
https://www1.president.go.kr/petitions/597970"
29,다음이 또 중국 뒷처리 전문 포털 아닌가?
30,중국은 이런건 신경도 안쓴다
31,"뭐 무책임 하루 이틀 얘기도 아니고. 놀랍지도 않음. 
시돼지 돈 많다며. 물어주면 되겠네."
32,이런것들이 같은인류라니
33,중국 ㅅㄲ 들이 언제는 책임감 같은게 있었나?
34,"민폐국
진짜싫다"
35,그래서 사람들이 ㅉㄲ ㅉㄲ 하나봐용...!!!
36,"지구에서 중국을 추방 하든가
중국을 쪼개서 가루로 만들어야 한다"
37,지구를 위해 중국을 죽여야 한다.
38,"인도 핵공격하다 실패한 느낌인데?

뭐하나 제대로 작동되야지

중! 국! 산!"
39,중국은 지구상에서 사라지는게 바람직 전혀 도움이 안됨 미세먼지처럼
40,재들은 사람이 아녀. 빨갱이 공산당이여
41,"남에게 피해주는걸 너무나 대수롭지 않게 여김
그 뻔뻔함과 몰상식..."
42,중국 ㅅㄲ 들이 언제는 책임감 같은게 있었나?
43,"지구에서 중국을 추방 하든가
중국을 쪼개서 가루로 만들어야 한다"
44,도움이 안되는 중공공산당
45,이런것들이 같은인류라니
46,"포천시 중국 자본 800억원으로 조성하는공자마을과 차이나타운 건설을 반대합니다. ⟩ 대한민국 청와대
https://www1.president.go.kr/petitions/597970"
47,"민폐국
진짜싫다"
48,그래서 사람들이 ㅉㄲ ㅉㄲ 하나봐용...!!!
49,"뭐 무책임 하루 이틀 얘기도 아니고. 놀랍지도 않음. 
시돼지 돈 많다며. 물어주면 되겠네."
50,지구를 위해 중국을 죽여야 한다.
51,중국은 지구상에서 사라지는게 바람직 전혀 도움이 안됨 미세먼지처럼
52,"인도 핵공격하다 실패한 느낌인데?

뭐하나 제대로 작동되야지

중! 국! 산!"
53,재들은 사람이 아녀. 빨갱이 공산당이여
54,중국은 이런건 신경도 안쓴다
55,다음이 또 중국 뒷처리 전문 포털 아닌가?
56,"남에게 피해주는걸 너무나 대수롭지 않게 여김
그 뻔뻔함과 몰상식..."
57,지구 끝판왕 민폐국 중국인 사라졌으면 좋겠다
58,천지사방에 적을 만들어놓고선 니들이 미국을 뛰어넘을 수 있겠니?
59,"중국잉 제일 국가가 되려면
이웃도  생각하고
독재도 없어야 된다"
60,병뿌리고 약장사하나??? 도동놈.
61,지나가는 개가 웃고 있네요??ㅎㅎ
62,"검은 피부 중국인이 WHO 수장인데,
뭔들 승인을 안해주겠냐.

코로나 초반에 
펜데믹 선언 늦춰달라는 시진핑 전화받고
그렇게 해준놈이 저 검은 피부 중국인임.

그렇게 시간 벌어줘서 
그 시간 동안
중국은 마스크와 산소호흡기를 사모았고.

저 흑인 놈은 중국이 식염수를 백신이라고 
사용 승인신청해도 받아줄 놈임."
63,전 세계를 팬대믹으로 초토화시키고 느끼는 중궈의 자부심이란 ?
64,"코로나  19라고  불리우는  우한 폐렴의
종주국으로 전 세계 세균 전쟁의
전대 미문의  사변을 일으킨 
세균  전범  국가의  면모를  유감없이
발휘 하는 세균 부대  선진화  굴기의
성공적  사례가  아닌   지"
65,"뻔뻔해도 정도가있지 진짜 세상에서 사라져버려라 
사죄는켜녕 오히려 적반하장 전세계가 담합해서 중국을 왕따시켜야한다 
그잘난 내수시장가지고 살아라"
66,"중국공산당이 중공산 짝퉁백신으로 전 세계를
아예 죽일라고작정했구만!
중국공산당간부놈들은 수입산 백신을접종하고
중공산백신은 절대로접종안한다
지들도 사용안하는백신을 힘없는
 중국인민들이나  개도국 빈민국가에 선심을베푼것처럼 나누어주면서 아예 생체실험으로 
우한폐렴바이러스에이어 중공백신으로 두번 
죽일려고 최후 광란의 쇼를하는구만!
그러니 지금도 자국민을상대로는(소수민족과 무고한 파룬궁수련자를 납치감금해놓고)강제생체장기적출만행을하고있지?
그래서 중국공산당을인류를훼멸하러온악마라고하는것이며
곧 강한슈퍼바이러스천벌역병으로 모두
 쓸어버릴것이다"
67,거북한여수가  도왔겠지 중공바이러스 퍼트리고 시노ㅍ팜 에라이
68,지구 최악의 더러운 균덩어리  쭝꿔이... 저들이 사라져야 지구가 산다.
69,"중국은 정말로 ""병주고 약 주고네~~""   사라져라 중국~"
70,코로나 발원지. 전세계를 상대로 이 정도 살상무기 개발 전파했으면 목적 달성한건가.
71,ㅇWTO  안에도 중공군 돈 쳐드신넘들이 우굴거리니 당연하지
72,중국우주기술은세계최고
73,서울중심에떨어제야했는데!!!
74,"정옥'보지마 우리좋코자 우리오늘까지만짤개요 스색바칠'

ㅋㅋ 재내또짜!~위집잡고"
75,"Chinese space debris? 
  Danger, watch out, it could fall on you! 
American space debris? 
  It’s a cinematic, dazzling light show!"
76,중국산은 빼라 누구 살인할려고 하냐
77,중국산 걸러라. 스푸트니크 V만 승인해라. 특히 러시아산 백신은 효과도 모더나나 파이자보다 좋아서  유럽에서도 난리다.
78,"누가 맞는냐 이다~
토종백신에  올인하라~"
79,돈주고 맞으라 해도 안맞는다. 거지같은 쓰레기 중국산 백신
80,러시아만......중국백신은 아냐!!!!
81,그전 뉴스가 미국의 음모론이구나 중국랑  상관있는  것은 일일이 더럽게 만들네
82,그저 눈길 끌려고 한반도 피해서 추락 기레기 같으니
